average_rating,num_pages,ratings_count,text_reviews_count,publication_month,book_age,Re_title,Re_main_author,Re_publisher
4.18,192,7809,186,4,24,betsy and tacy go over the big hill  betsy tacy   3 ,maud hart lovelace,harpercollins
4.29,325,58,8,12,22,maud hart lovelace's deep valley  a guidebook of mankato places in the betsy tacy series,julie a  schrader,minnesota heritage publishing
3.69,342,184,30,8,32,early candlelight,maud hart lovelace,minnesota historical society press
4.31,336,4586,119,3,29,betsy and joe  betsy tacy   8 ,maud hart lovelace,harpertrophy
4.17,320,4839,126,3,29,betsy was a junior  betsy tacy   7 ,maud hart lovelace,harpertrophy
4.21,180,70,7,1,81,betsy and tacy go downtown  betsy tacy   4 ,maud hart lovelace,thomas y  crowell company
4.23,304,2722,151,12,24,emily of deep valley  deep valley   2 ,maud hart lovelace,harpertrophy
4.07,144,20976,935,8,17,betsy tacy  betsy tacy   1 ,maud hart lovelace,harpercollins
4.03,352,22023,395,6,18,five little peppers and how they grew  five little peppers   1 ,margaret sidney,aladdin
3.92,320,243,7,1,36,five little peppers at school,margaret sidney,yearling
4.28,160,5702,65,4,23,all of a kind family uptown  all of a kind family   4 ,sydney taylor,taylor productions ltd
4.22,188,21620,836,8,19,all of a kind family  all of a kind family   1 ,sydney taylor,delacorte press
4.15,178,182,37,6,50,winter cottage,carol ryrie brink,atheneum
4.09,192,43,3,3,49,eddie's valuable property,carolyn haywood,william morrow   company
3.43,352,8577,756,11,18,empire  empire   1 ,orson scott card,tor books
3.9,288,6234,337,1,18,treason,orson scott card,orb books
3.84,212,10475,496,9,20,first meetings in ender's universe  ender's saga   0 5 ,orson scott card,tor
3.88,341,9828,1004,9,23,sarah  women of genesis   1 ,orson scott card,forge
3.85,368,5618,514,11,19,rachel   leah  women of genesis   3 ,orson scott card,forge books
3.9,140,475,66,7,34,how to write science fiction and fantasy,orson scott card,f   w publications inc 
3.54,608,2436,268,3,23,saints,orson scott card,forge books
3.39,430,2707,167,1,25,homebody,orson scott card,harpertorch
3.84,416,7487,617,3,12,rebekah  women of genesis   2 ,orson scott card,forge
4.07,382,190379,6637,8,30,speaker for the dead  ender's saga   2 ,orson scott card,tor books
3.79,311,18228,427,7,32,red prophet  tales of alvin maker   2 ,orson scott card,tor fantasy
3.58,352,10268,164,1,30,the call of earth  homecoming   2 ,orson scott card,tor books
3.95,13,109,19,9,18,shadow of the hegemon  shadow   2 ,orson scott card,macmillan audio
3.9,422,23534,2199,5,19,enchantment,orson scott card,del rey
4.13,356,2288,69,9,18,voyage of slaves  flying dutchman   3 ,brian jacques,philomel books
4.12,341,134,11,9,19,high rhulain  redwall   18 ,brian jacques,philomel books
4.07,400,26237,240,9,21,salamandastron  redwall   5 ,brian jacques,firebird
4.0,374,14205,144,6,19,the legend of luke  redwall   12 ,brian jacques,firebird
4.12,352,88167,2604,9,18,redwall  redwall   1 ,brian jacques,red fox
3.98,356,8025,261,3,21,castaways of the flying dutchman  flying dutchman   1 ,brian jacques,firebird
3.92,368,17597,188,5,20,outcast of redwall  redwall   8 ,brian jacques,firebird
3.99,389,10830,119,9,20,triss  redwall   15 ,brian jacques,firebird
4.13,72,2353,43,10,20,a redwall winter's tale,brian jacques,puffin
3.95,32,614,29,8,26,mr  impossible,roger hargreaves,price stern sloan
3.65,40,202,17,9,18,mr  christmas,roger hargreaves,price stern sloan
4.03,32,1701,74,3,26,mr  bump,roger hargreaves,price stern sloan
4.02,32,207,11,1,17,little miss birthday,roger hargreaves,price stern sloan
3.82,32,291,21,11,25,little miss lucky,roger hargreaves,price stern sloan
3.98,36,1,0,4,20,mr  happy,roger hargreaves,egmont children's books
3.82,32,87,12,5,17,mr  jelly and the pirates,roger hargreaves,price stern sloan
4.12,32,6,0,10,35,grandma baa  easy peasy people ,roger hargreaves,random house for young readers
4.67,32,2,0,10,35,bill buzz,roger hargreaves,random house for young readers
4.33,32,3,0,10,35,gary grizzle,roger hargreaves,random house for young readers
4.33,32,3,0,10,35,charlie oink,roger hargreaves,random house  for young readers
4.37,158,57,9,10,60,the poppy seed cakes,margery clark,doubleday books
4.16,32,124141,2038,4,42,cloudy with a chance of meatballs  cloudy with a chance of meatballs   1 ,judi barrett,atheneum books for young readers
3.8,32,4,1,1,47,the wind thief,judi barrett,atheneum books
4.11,32,0,0,10,33,animales no se visten  los  animals should definitely not wear clothing  with cd,judi barrett,live oak media
4.05,325,3258,478,7,19,beauty,robin mckinley,harpercollins
3.89,384,17485,1021,5,19,deerskin,robin mckinley,ace books
3.85,405,31047,3519,11,20,sunshine,robin mckinley,jove
3.77,304,17168,997,12,26,rose daughter,robin mckinley,ace
3.68,224,7941,419,10,21,the door in the hedge,robin mckinley,firebird
3.36,64,1036,78,9,26,the stone fey,robin mckinley,hmh books for young readers
4.25,320,625759,13883,5,21,anne of green gables  anne of green gables   1 ,l m  montgomery,signet book
3.84,403,3106,115,2,31,the road to yesterday  anne of green gables   9 ,l m  montgomery,bantam books
4.23,315,85,12,11,34,anne of avonlea,l m  montgomery,grosset   dunlap
4.3,685,5889,183,12,28,the stories of vladimir nabokov,vladimir nabokov,vintage
4.0,406,2334,109,4,23,the gift,vladimir nabokov,penguin books
4.34,385,1606,83,12,22,lectures on literature,vladimir nabokov,mariner books
4.36,734,119,10,10,28,novels   memoirs 1941 1951  the real life of sebastian knight   bend sinister   speak  memory,vladimir nabokov,library of america
4.33,800,256,22,1,31,the american years,brian boyd,princeton university press
3.97,292,8717,477,9,18,laughter in the dark,vladimir nabokov,new directions
3.95,256,7305,277,8,34,the luzhin defense,vladimir nabokov,vintage
4.18,928,34366,573,12,19,a woman of substance  emma harte saga  1 ,barbara taylor bradford,griffin
3.63,484,1287,104,12,18,the ravenscar dynasty  ravenscar   1 ,barbara taylor bradford,st  martin's press
3.63,429,132,27,10,18,dark birthright,jeanne treat,treat enterprises
3.74,326,1246,69,10,18,birthright  diablo  the sin war   1 ,richard a  knaak,pocket star
4.3,80,746,48,10,26,laura's album  a remembrance scrapbook of laura ingalls wilder,william   anderson,harpercollins
3.99,113,108,11,5,18,writings to young women from laura ingalls wilder  on wisdom and virtues  writings to young women on laura ingalls wilder  1 ,laura ingalls wilder,tommy nelson
3.92,116,94,10,5,18,writings to young women from laura ingalls wilder  on life as a pioneer woman  writings to young women from laura ingalls wilder  2 ,laura ingalls wilder,tommy nelson
4.13,352,686,52,2,18,a little house traveler  writings from laura ingalls wilder's journeys across america,laura ingalls wilder,harpercollins
4.2,256,4144,98,1,17,laura ingalls wilder  a biography,william   anderson,harpercollins
3.84,124,3926,119,10,48,west from home  letters of laura ingalls wilder  san francisco  1915   little house  11 ,laura ingalls wilder,harper   row
4.09,160,234,18,10,27,the laura ingalls wilder country cookbook,laura ingalls wilder,harpercollins publishers
3.98,128,41,2,5,18,writings to young women on laura ingalls wilder  as told by her family  friends  and neighbors  writings to young women on laura ingalls wilder  3 ,laura ingalls wilder,thomas nelson
3.96,276,346,31,6,18,the laughing jesus  religious lies and gnostic wisdom,tim freke,harmony
4.03,248,75,12,11,18,the erotic phenomenon,jean luc marion,university of chicago press
4.24,304,92,9,2,23,the phenomenon of life  toward a philosophical biology,hans jonas,northwestern university press
4.15,321,1480,39,5,23,down to the bonny glen  little house  the martha years   3 ,melissa wiley,harpertrophy
4.12,241,5628,125,5,47,laura  the life of laura ingalls wilder,donald zochert,avon
4.28,32,1538,59,9,29,winter days in the big woods,laura ingalls wilder,harpercollins
4.15,32,424,25,9,27,winter on the farm,laura ingalls wilder,winter on the farm  my first little house 
4.18,40,867,31,2,24,summertime in the big woods,laura ingalls wilder,harpercollins
4.05,176,4799,88,6,20,old town in the green groves  laura ingalls wilder's lost little house years,cynthia rylant,harper trophy
3.99,39,143,18,10,26,laura ingalls wilder's fairy poems,laura ingalls wilder,doubleday books for young readers
3.7,304,35,5,11,27,constructing the little house  gender  culture  and laura ingalls wilder,ann romines,university of massachusetts press
4.07,357,45778,1286,1,17,farmer boy  little house   2 ,laura ingalls wilder,harpertrophy
4.19,374,71853,646,1,17,little town on the prairie   little house   7 ,laura ingalls wilder,harpertrophy
4.21,80,66,7,10,25,christmas stories  little house chapter books  laura   10 ,laura ingalls wilder,harpercollins
4.03,64,59,6,3,26,my little house crafts book  18 projects from laura ingalls wilder's,carolyn strom collins,harpercollins
4.2,32,2142,72,9,27,christmas in the big woods,laura ingalls wilder,harpercollins
4.14,422,67427,1048,1,17,the long winter  little house   6 ,laura ingalls wilder,harpertrophy
4.14,40,453,17,9,26,a little house birthday,laura ingalls wilder,harpercollins
4.17,32,324,23,1,25,the deer in the wood,laura ingalls wilder,harpercollins
3.89,126,28259,533,1,17,the first four years   little house   9 ,laura ingalls wilder,harpertrophy
4.15,256,3375,91,9,35,the little house cookbook  frontier foods from laura ingalls wilder's classic stories,barbara m  walker,harpercollins
4.19,309,635,30,1,17,little house on the prairie  little house   3 ,laura ingalls wilder,harpertrophy
3.96,118,192,32,10,39,let the hurricane roar,rose wilder lane,harpertrophy
4.18,198,201840,3463,1,17,little house in the big woods  little house   1 ,laura ingalls wilder,harpertrophy
3.85,64,8,2,9,27,flowers  eyewitness explorers ,david burnie,dorling kindersley children
4.51,624,570,17,9,19,animal  the definitive visual guide to the world's wildlife,david burnie,dk
4.32,192,34,2,5,26,the making of disney's animal kingdom theme park,melody malmberg,disney enterprises
4.02,64,5,0,6,24,tree  eyewitness books ,david burnie,dk children
4.5,64,4,0,5,25,insects   spiders,david burnie,time life medical
3.27,289,621,82,4,18,the prophet of yonwood,jeanne duprau,random house books for young readers
4.08,256,1896,202,10,18,muhammad  a prophet for our time,karen armstrong,eminent lives
3.94,416,12789,221,3,20,prophet,frank e  peretti,crossway books
4.21,100,55,6,9,7,access the power of your higher self  your source of inner guidance and spiritual transformation  pocket guides to practical spirituality ,elizabeth clare prophet,summit university press
4.31,64,125,22,4,34,hailstones and halibut bones,mary o'neill,doubleday books for young readers
4.12,848,47,6,3,31,the second sex,simone de beauvoir,everyman's library
4.12,880,333,27,8,27,the second sex,simone de beauvoir,vintage classics
3.84,231,129,7,1,38,the church and the second sex,mary daly,beacon press
4.01,253,4245,133,9,19,thomas jefferson  oxford portraits ,r b  bernstein,oxford university press  usa
3.82,103,1038,100,8,18,the jefferson bible  the life and morals of jesus of nazareth,thomas jefferson,applewood books
4.07,103,692,80,7,21,who was thomas jefferson ,dennis brindell fradin,penguin workshop
4.12,352,9963,206,11,26,the man who listens to horses,monty roberts,ballantine books
3.87,308,4119,252,10,18,under orders  sid halley   4 ,dick francis,putnam publishing group
4.0,292,3062,94,2,20,for kicks,dick francis,g p  putnam's sons
3.94,256,2538,63,4,19,forfeit,dick francis,g p  putnam's sons
3.97,277,4964,124,1,20,dead cert,dick francis,g p  putnam's sons
3.98,304,2400,93,7,18,rat race,dick francis,g p  putnam's sons
4.07,304,4675,129,10,19,reflex,dick francis,g p  putnam's sons
3.99,341,3461,133,12,20,decider,dick francis,g p  putnam's sons
3.82,288,2215,60,4,20,slay ride,dick francis,g p  putnam's sons
4.0,304,2910,84,6,18,bonecrack,dick francis,g p  putnam's sons
4.04,320,3581,113,9,26,nerve,dick francis,jove
4.05,320,3758,128,1,19,break in  kit fielding   1 ,dick francis,g p  putnam's sons
3.89,288,4600,113,11,20,blood sport,dick francis,g p  putnam's sons
4.05,320,3513,143,2,18,straight,dick francis,g p  putnam's sons
3.9,320,3490,177,8,20,10 lb penalty,dick francis,g p  putnam's sons
3.83,272,2004,54,9,20,trial run,dick francis,g p  putnam's sons
3.91,352,2935,154,5,20,wild horses,dick francis,g p  putnam's sons
3.73,304,2053,85,3,20,field of thirteen,dick francis,g p  putnam's sons
3.96,384,2635,107,12,31,driving force,dick francis,fawcett books
3.97,276,2587,89,8,25,flying finish,dick francis,jove
4.04,288,5043,121,5,19,bolt  kit fielding   2 ,dick francis,g p  putnam's sons
4.01,384,3786,134,12,19,come to grief  sid halley   3 ,dick francis,g p  putnam's sons
3.96,272,96,4,7,20,enquiry,dick francis,g p  putnam's sons
4.06,288,3749,130,2,19,odds against  sid halley   1 ,dick francis,g p  putnam's sons
4.06,288,3092,132,10,24,banker,dick francis,michael joseph
4.1,304,5108,143,6,19,whip hand  sid halley   2 ,dick francis,g p  putnam's sons
3.59,468,82,2,7,37,a jockey's life  the biography of lester piggott,dick francis,fawcett
3.79,221,64,3,3,32,the dick francis treasury of great racing stories,dick francis,fawcett
4.09,707,32,0,11,27,come to grief   decider   wild horses,dick francis,putnam adult
4.06,277,56,4,4,24,odds against,dick francis,jove
4.15,32,1371,205,7,18,eats  shoots   leaves  why  commas really do make a difference ,lynne truss,g p  putnam's sons books for young readers
3.33,214,204,30,10,19,talk to the hand  the utter bloody rudeness of everyday life,lynne truss,profile books
4.25,606,155,16,9,18,the spice and herb bible,ian hemphill,robert rose
4.1,459,541,95,10,21,master and commander  aubrey maturin    1 ,patrick o'brian,w  w  norton  company
3.97,168,96,13,10,21,the making of master and commander  the far side of the world,tom mcgregor,w  w  norton  company
4.32,10,3659,80,10,19,the ionian mission  aubrey maturin   8 ,patrick o'brian,blackstone audiobooks
3.8,372,799,31,2,18,her master and commander  just ask reeves   1 ,karen hawkins,avon
3.77,278,26,0,10,23,strange sounds  music  technology   culture,timothy d  taylor,routledge
3.57,436,1818,89,9,21,stanley park,timothy  taylor,counterpoint llc
3.88,324,14109,1591,1,21,crow lake,mary lawson,dial press trade paperback
3.79,592,119937,3139,7,28,xenocide  ender's saga   3 ,orson scott card,tor books
4.01,320,148,6,11,21,the life of sir arthur conan doyle,john dickson carr,da capo press
3.92,224,18,4,9,22,the lost world  tv tie in ,arthur conan doyle,penguin books
4.33,192,116,11,4,19,las aventuras de sherlock holmes,arthur conan doyle,edimat libros
3.55,272,5768,262,8,18,wild ducks flying backward,tom robbins,bantam
4.23,448,25135,420,12,27,unlimited power  the new science of personal achievement,anthony robbins,free press
4.33,432,55,6,11,20,robbins and cotran review of pathology,edward c  klatt,saunders
4.03,445,24792,1139,5,23,fierce invalids home from hot climates,tom robbins,bantam
4.25,342,54516,2721,4,23,jitterbug perfume,tom robbins,no exit press
4.2,224,166574,2192,4,19,life  the universe and everything  hitchhiker's guide to the galaxy   3 ,douglas adams,del rey
4.09,167,93997,1394,3,22,so long  and thanks for all the fish  hitchhiker's guide to the galaxy   4 ,douglas adams,picador usa
4.22,180,3115,306,3,22,the hitchhiker's guide to the galaxy  hitchhiker's guide to the galaxy   1 ,douglas adams,picador usa
4.35,96,294,19,10,30,the illustrated hitchhiker's guide to the galaxy,douglas adams,harmony
3.7,277,621,90,11,18,point to point navigation,gore vidal,doubleday books
3.77,328,5783,433,5,18,an inconvenient truth  the planetary emergency of global warming and what we can do about it,al gore,rodale books
3.99,448,1485,94,9,28,palimpsest,gore vidal,penguin books
4.21,672,7326,430,2,24,lincoln,gore vidal,vintage
4.07,430,7265,526,2,24,burr,gore vidal,vintage
4.04,302,17939,947,4,22,comfort me with apples  more adventures at the table,ruth reichl,random house trade
4.04,299,15,3,1,23,comfort me with apples,ruth reichl,random house
4.16,506,8966,454,3,26,the last temptation of christ,nikos kazantzakis,simon  schuster
3.59,207,112,5,5,19,her last temptation,leslie kelly,harlequin temptation
4.01,496,4991,271,3,19,the last temptation  tony hill   carol jordan   3 ,val mcdermid,st  martin's paperbacks
4.16,589,114,14,11,29,the last temptation,nikos kazantzakis,faber  faber
3.83,240,2011,84,6,20,desert dawn,waris dirie,virago uk
4.15,240,11981,735,3,13,desert flower,waris dirie,william morrow paperbacks
3.71,240,509,25,11,19,desert children,waris dirie,virago uk
3.84,112,68,9,2,23,the beach,joanna strange,longman
3.16,340,123,12,11,23,the weekenders  travels in the heart of africa,w f  deedes,ebury press
3.69,137,38506,4719,8,18,i feel bad about my neck  and other thoughts on being a woman,nora ephron,knopf publishing group
4.03,217,506,53,12,18,feel the fear       and do it anyway,susan  jeffers,ballantine books
4.04,36,24,3,2,21,touch   feel  animals boxed set,jennifer quasha,dk publishing
4.16,40,4171,518,7,17,today i feel silly  other moods that make my day,jamie lee curtis,harpercollins
3.79,12,24,6,9,23,my first word touch and feel,anne millard,dk children
3.98,24,113,4,1,24,when i feel angry,nancy cote,albert whitman  company
4.0,10,39,7,11,21,violet's house  a giant touch and feel book  baby einstein ,julie aigner clark,disney press
3.45,320,4504,491,10,18,the white masai,corinne hofmann,amistad
4.14,128,5097,219,8,18,the story of a seagull and the cat who taught her to fly,luis sep lveda,scholastic paperbacks
4.31,260,1253,54,4,21,the burgess bird book for children,thornton w  burgess,dover publications
4.26,275,478,30,9,20,the burgess animal book for children,thornton w  burgess,dover publications
4.14,96,275,19,5,30,the adventures of jimmy skunk,thornton w  burgess,dover publications
3.71,288,5423,293,12,28,the wanting seed,anthony burgess,w  w  norton  company
3.99,159,5366,524,2,24,a clockwork orange,anthony burgess,penguin classics
3.99,149,1422,124,9,26,a clockwork orange,anthony burgess,penguin books
3.84,51,28,2,3,7,a clockwork orange  stage play ,anthony burgess,methuen drama
3.82,224,1008,51,7,25,one hand clapping,anthony burgess,da capo press
3.62,260,966,39,8,27,the doctor is sick,anthony burgess,w w  norton  company
4.16,649,2116,157,5,20,earthly powers,anthony burgess,vintage classics
3.75,460,4422,211,5,19,past mortem,ben elton,black swan
3.72,400,2292,69,7,21,this other eden,ben elton,black swan
4.02,560,208,27,2,18,saint exup ry,stacy schiff,holt paperbacks
3.9,249,592315,7791,7,11,macbeth,william shakespeare,simon  schuster
3.9,224,296,20,4,39,macbeth,william shakespeare,barrons educational series
3.79,198,3280,188,6,25,death of a scriptwriter  hamish macbeth   14 ,m c  beaton,warner books
3.83,227,3318,204,1,19,death of a poison pen  hamish macbeth   19 ,m c  beaton,warner books
3.83,194,5757,321,7,19,death of an outsider  hamish macbeth   3 ,m c  beaton,warner books
3.59,112,25,2,5,24,cliffs notes on shakespeare's macbeth,alex went,cliffs notes
3.8,214,3015,167,3,23,death of an addict  hamish macbeth   15 ,m c  beaton,warner books
4.09,333,2330,252,6,18,a year in the life of william shakespeare  1599,james shapiro,harper perennial
4.05,105,755,94,12,18,who was william shakespeare ,celeste davidson mannis,grosset   dunlap
3.95,192,88,14,6,24,planet of the apes,pierre boulle,wings
3.62,288,24,1,3,21,planet of the apes  colony,william t  quick,harperentertainment
2.62,80,8,2,3,22,planet of the apes  volume 1  old gods,ian edginton,dark horse comics
2.92,288,53,2,6,22,planet of the apes  the fall,william t  quick,harperentertainment
3.33,183,12,1,6,48,return to the planet of the apes   visions from nowhere,william arrow,ballantine books
3.28,72,1,1,7,23,planet of the apes  the human war,ian edginton,titan books ltd
3.66,158,461,10,6,51,battle for the planet of the apes,david gerrold,award books
4.01,342,370331,20582,9,18,world war z  an oral history of the zombie war,max brooks,crown
3.82,192,196425,4549,3,22,the war of the worlds,h g  wells,modern library
4.2,928,919,44,6,20,the second world war  a complete history,martin  gilbert,holt mcdougal
3.95,416,472,41,1,44,a short history of world war ii,james l  stokesbury,william morrow paperbacks
3.84,320,60,4,11,13,best science fiction stories of h  g  wells,h g  wells,dover publications
3.64,208,333,23,9,20,the invisible man,h g  wells,scholastic paperbacks
4.11,256,191128,4802,7,23,the hound of the baskervilles,arthur conan doyle,signet
4.11,272,66,7,8,18,the hound of the baskervilles,arthur conan doyle,candlewick press
4.51,237,33,1,1,19,sherlock holmes and the case of the hound of the baskervilles  great illustrated classics ,malvina g  vogel,abdo publishing company
4.01,320,7653,90,11,18,jamie's italy,jamie oliver,hachette books
4.07,336,4296,51,11,20,jamie's dinners  the essential family cookbook,jamie oliver,hachette books
4.18,272,18536,350,9,18,the lake of souls  cirque du freak  10 ,darren shan,little  brown books for young readers
4.01,169,41589,4153,6,23,freak the mighty  freak the mighty   1 ,rodman philbrick,scholastic paperbacks
3.82,372,4748,597,7,22,word freak  heartbreak  triumph  genius  and obsession in the world of competitive scrabble players,stefan fatsis,penguin books
4.16,208,26461,587,9,21,vampire mountain  cirque du freak   4 ,darren shan,little  brown young readers
4.21,383,19217,271,1,25,jesus freaks  stories of those who stood for jesus  the ultimate jesus freaks  jesus freaks   1 ,d c  talk,albury publishing
4.25,202,24590,525,1,16,trials of death  cirque du freak   5 ,darren shan,little  brown books for young readers
4.12,320,492,32,10,19,sister freaks  stories of women who gave up everything for god,rebecca st  james,faithwords
3.17,371,139,25,12,18,freaks of the storm  from flying cows to stealing thunder  the world's strangest true weather stories,randy cerveny,thunder's mouth press books
3.88,336,210,18,5,34,freak show  presenting human oddities for amusement and profit,robert bogdan,university of chicago press
4.06,184,591,29,11,23,live like a jesus freak  spend today as if it were your last,d c  talk,bethany house publishers
4.06,144,31,1,6,20,freaks   how to draw fantastic fantasy creatures,steve  miller,watson guptill publications
3.69,390,55,7,4,18,jesus freaks,andre duza,deadite press  eraserhead press 
3.55,184,112,9,7,19,category  freaks  vol  1  category  freaks   1 ,sakurako gokurakuin,dr  master productions inc 
4.03,234,1458,175,5,18,hello cruel world  101 alternatives to suicide for teens  freaks  and other outlaws,kate bornstein,seven stories press
3.72,222,8410,751,9,18,don't get too comfortable  the indignities of coach class  the torments of low thread count  the never ending quest for artisanal olive oil  and other first world problems,david rakoff,anchor books
3.51,288,49042,4140,1,18,i hope they serve beer in hell  tucker max   1 ,tucker max,citadel
3.92,134,3590,251,11,26,holidays on ice,david sedaris,back bay
4.21,256,11841,1766,4,18,the long walk  the true story of a trek to freedom,s awomir rawicz,lyons press
4.11,370,94303,4453,4,25,the long walk,richard bachman,signet
3.45,128,56,11,7,30,navajo long walk,nancy m  armstrong,roberts rinehart publishers
3.99,496,1278,207,4,20,the devil in the white city  murder  magic and madness at the fair that changed america,erik larson,bantam press
3.99,447,283,37,3,21,the devil in the white city murder  magic  and madness at the fair that changed america,erik larson,doubleday
4.05,224,977,71,3,60,the historian's craft  reflections on the nature and uses of history and the techniques and methods of those who write it ,marc bloch,vintage
4.0,166,4,2,2,14,charles dickens as a legal historian,william holdsworth,lawbook exchange  ltd 
3.89,498,37,5,11,45,the progressive historians  turner  beard  parrington  phoenix book ,richard hofstadter,university of chicago press
3.29,169,24,2,1,25,what did the constitution mean to early americans   historians at work ,edward countryman,bedford books
3.78,26,354,135,12,19,the historian,elizabeth kostova,books on tape
3.93,320,4040,259,1,21,see no evil  the true story of a ground soldier in the cia's war on terrorism,robert b  baer,broadway books
4.13,480,6193,355,7,24,in a dry season  inspector banks   10 ,peter robinson,avon
4.3,336,47,8,5,20,plants and landscapes for summer dry climates of the san francisco bay region,east bay m  u  d  staff,east bay municipal utility district
4.24,504,819,31,10,20,in focus  national geographic greatest portraits,leah bendavid val,national geographic society
3.62,128,16,1,9,20,portrait photographer's handbook,bill hurter,amherst media  inc 
4.39,354,142,9,12,19,portrait in death  in death   16 ,j d  robb,piatkus books
3.38,124,51,0,7,20,posing for portrait photography  a head to toe guide,jeff   smith,amherst media
4.08,51,85,2,10,25,the portrait of dorian gray,oscar wilde,express publishing
4.08,462,171,13,1,36,the picture of dorian gray,oscar wilde,w  w  norton   company
4.08,517,663,52,8,18,the picture of dorian gray,oscar wilde,w  w  norton   company
4.08,229,1089,78,11,18,the picture of dorian gray,oscar wilde,oxford university press  usa
3.95,265,68,6,6,24,an arab syrian gentleman and warrior in the period of the crusades  memoirs of usamah ibn munqidh,usamah ibn munqidh,columbia university press
4.38,176,393,27,6,42,technical manual and dictionary of classical ballet,gail grant,dover publications
4.35,333,524,40,10,19,the ballet companion  a dancer's guide to the technique  traditions  and joys of ballet,eliza gaynor minden,touchstone
3.77,48,13,0,7,27,ballet class,john         green,dover publications
4.01,208,238,10,1,27,nyc ballet workout,peter martins,william morrow paperbacks
4.18,64,64,5,6,24,the illustrated book of ballet stories  with cd ,barbara  newman,dk children
4.07,144,155,14,1,19,lara's leap of faith  the royal ballet school diaries   2 ,alexandra moss,grosset   dunlap
4.06,144,130,4,5,19,isabelle's perfect performance  the royal ballet school diaries   3 ,alexandra moss,grosset   dunlap
4.21,96,1,0,9,20,the barefoot book of ballet stories,jane yolen,barefoot books
3.92,144,93,8,8,18,boys or ballet   royal ballet school diaries   8 ,alexandra moss,grosset   dunlap
4.0,560,203,12,5,49,101 stories of the great ballets  the scene by scene stories of the most popular ballets  old and new,george balanchine,anchor
4.01,348,78,6,10,21,ballet for dummies,scott speck,for dummies
3.72,32,69,13,3,20,time for ballet,ad le geras,dial
3.53,368,17,0,8,22,ballet in western culture  a history of its origins and evolution,carol lee,routledge
3.88,24,73,1,1,18,angelina's ballet class,katharine holabird,grosset   dunlap
4.33,188,6,1,11,17,san francisco ballet at seventy five,janice ross,chronicle books
3.74,224,53,6,6,22,ballet and modern dance,susan au,thames  hudson
4.47,200,15,1,4,28,teaching classical ballet,john               white,university press of florida
3.69,160,41,2,9,24,drat  we're rats   scrambled legs   1 ,jahnna n  malcolm,starcatcher press
3.5,160,44,3,9,24,battle of the bunheads  scrambled legs   2 ,jahnna n  malcolm,starcatcher press
3.29,135,13,0,10,35,blubberina  scrambled legs   5 ,jahnna n  malcolm,scholastic
3.81,327,709,29,1,55,the books in my life,henry miller,new directions
4.06,576,28769,694,7,22,the smoke jumper,nicholas evans,dell
3.81,528,35784,686,5,21,last chance saloon,marian keyes,harpercollins publishers
3.92,456,348,45,5,18,anybody out there   walsh family   4 ,marian keyes,william morrow
3.78,520,65441,1233,7,19,watermelon  walsh family   1 ,marian keyes,arrow
3.95,578,55525,1223,1,17,rachel's holiday  walsh family   2 ,marian keyes,william morrow paperbacks
3.77,640,43077,690,1,17,lucy sullivan is getting married,marian keyes,william morrow paperbacks
3.82,368,1625,42,9,19,essays and stories by marian keyes  bags  trips  make up tips  charity  glory  and the darker side of the story,marian keyes,william morrow paperbacks
3.29,79,780,52,12,24,no dress rehearsal,marian keyes,new island books
4.6,200,8989,151,11,18,fullmetal alchemist  vol  10,hiromu arakawa,viz media llc
4.56,200,12885,208,1,18,fullmetal alchemist  vol  5  fullmetal alchemist   5 ,hiromu arakawa,viz media llc
4.23,491,1021,112,8,38,the house of the spirits,isabel allende,black swan
4.23,488,270,49,4,19,the house of the spirits,isabel allende,everyman's library
0.0,228,0,0,1,20,how to meditate  an anthology of talks on meditation and  meditation  the bridge is flowing but the river is not ,frederick p  lenz,frederick p  lenz foundation for american buddhism
0.0,304,0,0,1,21,insights  talks on the nature of existence,frederick p  lenz,frederick p  lenz foundation for american buddhism
3.82,288,2864,349,11,18,palestine  peace not apartheid,jimmy carter,simon   schuster
3.88,224,3193,236,9,18,our endangered values  america's moral crisis,jimmy carter,simon  schuster
3.91,288,1935,229,10,23,an hour before daylight  memories of a rural boyhood,jimmy carter,simon  schuster
3.32,272,33,4,3,20,the real jimmy carter  how our worst ex president undermines american foreign policy  coddles dictators and created the party of clinton and kerry,steven f  hayward,regnery publishing
3.55,160,221,36,10,26,the virtues of aging,jimmy carter,ballantine books
3.8,288,481,33,9,26,living faith,jimmy carter,three rivers press  ca 
3.47,192,238,35,11,19,sharing good times,jimmy carter,simon  schuster
3.63,820,22547,1371,5,18,until i find you,john irving,ballantine books
4.04,422,35517,1014,3,22,skinny legs and all,tom robbins,no exit press
4.19,224,911,42,9,29,fannie flagg's original whistle stop cafe cookbook,fannie flagg,ballantine books
4.14,224,1675,124,5,33,free play  improvisation in life and art,stephen nachmanovitch,tarcherperigee
3.44,224,1858,153,6,19,the sari shop,rupa bajwa,w  w  norton  company
3.64,368,603675,10079,11,21,confessions of a shopaholic  shopaholic   1 ,sophie kinsella,dell publishing company
3.66,388,76205,1867,11,18,shopaholic and sister  shopaholic   4 ,sophie kinsella,dell publishing company
3.76,387,100796,2382,12,20,shopaholic takes manhattan  shopaholic   2 ,sophie kinsella,dell publishing company
3.78,407,94917,2089,8,20,shopaholic ties the knot  shopaholic   3 ,sophie kinsella,dell publishing company
